design,year,month,side,reason_class,price_bucket,notional_bucket,fills,notional,slippage,avg_slippage,median_slippage,fees,transaction_cost,slippage_bps
A,2024,2024-04,BUY,NORMAL_STRATEGY,5-10,Q4,1,789454.1898259162,5334.15,5334.15,5334.15,1326.2040934885567,6660.354093488557,67.56756843834398
A,2024,2024-04,BUY,NORMAL_STRATEGY,10-25,Q2,1,199276.2046924591,1230.1,1230.1,1230.1,334.7640962628621,1564.864096262862,61.72839360817818
A,2024,2024-04,BUY,NORMAL_STRATEGY,10-25,Q3,1,663199.9898803713,2652.8,2652.8,2652.8,1114.1096630000354,3766.909663000036,40.00000061035156
A,2024,2024-04,BUY,NORMAL_STRATEGY,10-25,Q4,2,2901623.8609687802,15322.7,7661.35,7661.35,4874.437924041455,20197.137924041454,52.807326980293475
A,2024,2024-04,BUY,NORMAL_STRATEGY,25-50,Q4,1,1439488.0,11246.0,11246.0,11246.0,2418.1958912,13664.195891200001,78.125
A,2024,2024-04,SELL,NORMAL_STRATEGY,5-10,Q4,1,1400594.4,9726.35,9726.35,9726.35,2352.8585325599997,12079.20853256,69.44444444444444
A,2024,2024-04,SELL,NORMAL_STRATEGY,10-25,Q3,2,948148.7898803712,4584.4,2292.2,2292.2,1592.7951521200355,6177.195152120035,48.35106102469864
A,2024,2024-04,SELL,NORMAL_STRATEGY,10-25,Q4,2,1785868.2277343748,11586.2,5793.1,5793.1,3000.080035770977,14586.280035770977,64.87712710303786
A,2024,2024-04,SELL,NORMAL_STRATEGY,25-50,Q2,1,153018.5,884.5,884.5,884.5,257.05577815,1141.55577815,57.80346820809248
A,2024,2024-04,SELL,NORMAL_STRATEGY,25-50,Q3,3,1490415.75,9320.25,3106.75,3527.75,2503.749418425,11823.999418425,62.53456460051499
A,2024,2024-04,SELL,NORMAL_STRATEGY,25-50,Q4,2,1556881.5,9637.25,4818.625,4818.625,2615.40523185,12252.65523185,61.900986041648
A,2024,2024-04,SELL,NORMAL_STRATEGY,50-100,Q4,1,968948.0,4176.5,4176.5,4176.5,1627.7357452,5804.2357452,43.10344827586207
A,2024,2024-05,BUY,NORMAL_STRATEGY,10-25,Q4,4,4732345.397663688,27911.100000000002,6977.775000000001,6475.65,7949.867033535231,35860.967033535235,58.97942279060914
A,2024,2024-05,BUY,NORMAL_STRATEGY,25-50,Q4,3,3047014.25,19907.5,6635.833333333333,5906.0,5118.6792385749995,25026.179238575,65.33444994554915
A,2024,2024-05,SELL,NORMAL_STRATEGY,10-25,Q1,1,21070.00037384033,98.0,98.0,98.0,35.39549362801437,133.39549362801438,46.511627081731284
A,2024,2024-05,SELL,NORMAL_STRATEGY,10-25,Q3,2,676152.8,3320.2,1660.1,1660.1,1135.86908872,4456.06908872,49.1042853035586
A,2024,2024-05,SELL,NORMAL_STRATEGY,10-25,Q4,3,2269499.8018203736,11357.9,3785.9666666666667,3643.7,3812.532717078045,15170.432717078045,50.04582944175535
A,2024,2024-05,SELL,NORMAL_STRATEGY,25-50,Q4,4,3748980.5,27126.5,6781.625,6562.5,6297.912341949999,33424.412341949996,72.35700479103585
A,2024,2024-06,BUY,NORMAL_STRATEGY,10-25,Q4,3,2621791.1324256896,13696.4,4565.466666666666,4622.2,4404.346923361916,18100.746923361916,52.240622186131375
A,2024,2024-06,BUY,NORMAL_STRATEGY,25-50,Q4,4,4554706.75,34580.75,8645.1875,8434.25,7651.451869325,42232.201869325,75.92310964915579
A,2024,2024-06,BUY,NORMAL_STRATEGY,50-100,Q4,1,2547830.5,11905.75,11905.75,11905.75,4280.10045695,16185.85045695,46.72897196261682
A,2024,2024-06,SELL,NORMAL_STRATEGY,10-25,Q1,1,20535.099547195437,118.7,118.7,118.7,34.496913729333606,153.1969137293336,57.80346948267477
